predictor,feature,feature_group,feature_mse
global_mean,pix_073,pix,0.9870567321777344
global_mean,pix_074,pix,1.2014744281768799
global_mean,pix_075,pix,0.9046740531921387
global_mean,pix_076,pix,0.9836545586585999
global_mean,pix_077,pix,0.9984847903251648
global_mean,pix_078,pix,1.0540356636047363
global_mean,pix_079,pix,1.0965733528137207
global_mean,pix_080,pix,1.0195510387420654
global_mean,pix_081,pix,0.9934102892875671
global_mean,pix_082,pix,1.0035353899002075
global_mean,pix_083,pix,1.0175303220748901
global_mean,pix_084,pix,1.0626609325408936
global_mean,pix_085,pix,1.0372940301895142
global_mean,pix_086,pix,1.0002164840698242
global_mean,pix_087,pix,0.9673420786857605
global_mean,pix_088,pix,1.0178744792938232
global_mean,pix_089,pix,1.2938292026519775
global_mean,pix_090,pix,0.796731173992157
global_mean,pix_091,pix,0.9310850501060486
global_mean,pix_092,pix,0.9855547547340393
global_mean,pix_093,pix,1.0476280450820923
global_mean,pix_094,pix,1.0813754796981812
global_mean,pix_095,pix,0.9950303435325623
global_mean,pix_096,pix,1.0093342065811157
global_mean,pix_097,pix,0.9838324189186096
global_mean,pix_098,pix,1.0273152589797974
global_mean,pix_099,pix,1.025837779045105
global_mean,pix_100,pix,1.0570018291473389
global_mean,pix_101,pix,1.0175763368606567
global_mean,pix_102,pix,0.9897493720054626
global_mean,pix_103,pix,1.0468645095825195
global_mean,pix_104,pix,1.2133095264434814
global_mean,pix_105,pix,0.796308696269989
global_mean,pix_106,pix,0.9421759247779846
global_mean,pix_107,pix,1.013501524925232
global_mean,pix_108,pix,1.0619131326675415
global_mean,pix_109,pix,1.018436312675476
global_mean,pix_110,pix,0.9648305773735046
global_mean,pix_111,pix,1.010434865951538
global_mean,pix_112,pix,1.0368553400039673
global_mean,pix_113,pix,1.0122697353363037
global_mean,pix_114,pix,1.0567549467086792
global_mean,pix_115,pix,1.0342296361923218
global_mean,pix_116,pix,0.9781776666641235
global_mean,pix_117,pix,0.9654446244239807
global_mean,pix_118,pix,1.057425856590271
global_mean,pix_119,pix,1.1656429767608643
global_mean,pix_120,pix,0.9483806490898132
global_mean,pix_121,pix,0.9605734348297119
global_mean,pix_122,pix,0.9931998252868652
global_mean,pix_123,pix,0.9708933234214783
global_mean,pix_124,pix,0.9695684313774109
global_mean,pix_125,pix,0.9994297623634338
global_mean,pix_126,pix,0.97989821434021
global_mean,pix_127,pix,1.0163445472717285
global_mean,pix_128,pix,1.0122861862182617
global_mean,pix_129,pix,1.021540641784668
global_mean,pix_130,pix,1.0273101329803467
global_mean,pix_131,pix,0.9798572063446045
global_mean,pix_132,pix,1.029543399810791
global_mean,pix_133,pix,0.9935685992240906
global_mean,pix_134,pix,1.0308165550231934
global_mean,pix_135,pix,1.0257076025009155
global_mean,pix_136,pix,1.0163272619247437
global_mean,pix_137,pix,0.9979275465011597
global_mean,pix_138,pix,1.000493049621582
global_mean,pix_139,pix,0.9960930347442627
global_mean,pix_140,pix,0.9774268865585327
global_mean,pix_141,pix,0.9683682322502136
global_mean,pix_142,pix,1.022679090499878
global_mean,pix_143,pix,0.9978943467140198
global_mean,pix_144,pix,1.0550775527954102
global_mean,pix_145,pix,1.0311282873153687
global_mean,pix_146,pix,1.0158817768096924
global_mean,pix_147,pix,0.997251033782959
global_mean,pix_148,pix,1.0075606107711792
global_mean,pix_149,pix,1.070664405822754
global_mean,pix_150,pix,1.0612126588821411
global_mean,pix_151,pix,0.9813497066497803
global_mean,pix_152,pix,0.9990218281745911
global_mean,pix_153,pix,0.9919371604919434
